prompt,messages,category
What specializations does Public Relations And Advertising offer?,"[{""content"": ""What specializations does Public Relations And Advertising offer?"", ""role"": ""user""}, {""content"": ""Compulsory Course Descriptions:\n\nCMN101 - Introduction to Communication:\nThe aim of the course is to help students understand fundamental concepts in communication such as the process of signification and representation. Students will acquire knowledge about historical development of different media sectors.\n\nCMN201 - Social Psychology:\nCovers introduction to social psychology including social beliefs, judgments, behavior, attitudes, conformity, obedience, persuasion, group influence, prejudice, aggression and helping.\n\nCMN202 - Sociology for Communication:\nPresents fundamental concepts and issues in sociology and connects them to communication studies.\n\nCMN203 - Communication Workshop:\nPractical course focusing on public relations, preparation of press releases, and creating public opinion through applied studies.\n\nCMN208 - Political Science:\nDevelops students' understanding of political science and different ideologies through active learning and presentations.\n\nCMN217 - Communication Theories:\nHelps students understand the intricacies of the communication field for their professional development.\n\nCMN303 - Research Methods in Social Sciences:\nProvides tools for critically engaged, theoretically informed research using interviewing, focus groups, historical research, ethnography, and textual analysis.\n\nCMN306 - Interpersonal Communication:\nTeaches students to communicate effectively in conflict situations.\n\nCMN310 - Law of Communication:\nPresents fundamental concepts in communication law and how legal systems function.\n\nCMN311 - Public Opinion Research:\nSurvey research specialization providing public attitude surveys, focus groups, demographic studies and market research.\n\nCMN413 - Media Ethics:\nEstablishes importance of ethics philosophy in communication and media studies, covering media structures and new technologies.\n\nCMN431 - Political Communication:\nIntroduction to theory and practice of political communication, media's role in campaigns, and government relations.\n\nCMN444 - Communication and Modernity:\nIntroduction to formation of modernity and postmodernity, covering Enlightenment, modern state, media, and globalization.\n\nPRL201 - Introduction to Public Relations & Advertising:\nFoundation course covering basic principles and practices in public relations and advertising.\n\nPRL202 - Introduction to Business:\nExamines origins of business science, basic concepts, management functions and relations with other disciplines.\n\nPRL309 - Design of Advertisement:\nTeaches advertising design in visual, auditory and social networks, focusing on linguistics, syntax and slogans.\n\nPRL313 - Graphic Design:\nIntroduction to graphic design computer programmes including Adobe Photoshop and Adobe Illustrator.\n\nPRL332 - Application of Advertising:\nOverview of strategic planning and management process for developing and executing communication campaigns.\n\nPRL403 - Advertising & Public Relations Agency Management:\nExamines activities in advertising and PR agencies, organizational relationships and business understanding.\n\nPRL414 - Publicity & Promotion Strategies:\nCovers publicity, promotion concepts, marketing communication and integrated marketing communication (IMC) process.\n\nPRL433 - Planning & Practices in Public Relations:\nIntroduces strategic planning process for organizational public relations efforts.\n\nPRL440 - Department Project:\nStudents apply a real PR project to prepare for professional life."", ""role"": ""assistant""}]",Program Information
Tell me about the Sportandscience program at Near East University.,"[{""content"": ""Tell me about the Sportandscience program at Near East University."", ""role"": ""user""}, {""content"": ""Sports Sciences and Physical Education Teaching Curriculum Overview\nDegree: Bachelor of Science in Sports Sciences and Physical Education Teaching\nProgram Duration: 4 years (8 semesters)\nProgram Type: Teacher Education Program\n\nLegend:\nZ/S: Mandatory/Optional (Zorunlu/Seçmeli)\nT: Theoretical Hours\nP: Practical/Lab Hours\nK: Credits\nA: ECTS (AKTS)\n\nProgram Focus: Preparing physical education teachers with comprehensive sports science knowledge"", ""role"": ""assistant""}]",Program Information
What is the Sportandscience program?,"[{""content"": ""What is the Sportandscience program?"", ""role"": ""user""}, {""content"": ""Sports Sciences and Physical Education Teaching Curriculum Overview\nDegree: Bachelor of Science in Sports Sciences and Physical Education Teaching\nProgram Duration: 4 years (8 semesters)\nProgram Type: Teacher Education Program\n\nLegend:\nZ/S: Mandatory/Optional (Zorunlu/Seçmeli)\nT: Theoretical Hours\nP: Practical/Lab Hours\nK: Credits\nA: ECTS (AKTS)\n\nProgram Focus: Preparing physical education teachers with comprehensive sports science knowledge"", ""role"": ""assistant""}]",Program Information
What courses will I take in first year first semester of Sportandscience?,"[{""content"": ""What courses will I take in first year first semester of Sportandscience?"", ""role"": ""user""}, {""content"": ""In the first year first semester of Sportandscience, you will study:\n\nFirst Year - First Semester Courses:\nAEF109, Introduction to Education, Type: Z, T: 2, P: 0, K: 2, A: 4\nAİT101, Atatürk's Principles and History of Revolution 1, Type: Z, T: 2, P: 0, K: 2, A: 2\nİNG101, Foreign Language 1, Type: Z, T: 3, P: 0, K: 3, A: 3\nTUR101, Turkish Language 1, Type: Z, T: 2, P: 0, K: 2, A: 2\nBİL101, Information Technologies, Type: Z, T: 3, P: 0, K: 3, A: 4\nOSB121, Introduction to Sports Sciences, Type: Z, T: 3, P: 0, K: 3, A: 3\nOSB123, Human Anatomy and Kinesiology, Type: Z, T: 3, P: 0, K: 3, A: 4\nOSB135, Movement Training, Type: Z, T: 2, P: 2, K: 3, A: 3\nOSB205, Team Sports 1 (Basketball), Type: Z/S, T: 1, P: 2, K: 2, A: 3\nKAM100, Adaptation to Campus, Type: Z, T: 0, P: 0, K: 0, A: 2\n\nTotal: Mandatory: 21, Practical: 4, Credits: 23, ECTS: 30"", ""role"": ""assistant""}]",Course Information
List the first year first semester courses for Sportandscience,"[{""content"": ""List the first year first semester courses for Sportandscience"", ""role"": ""user""}, {""content"": ""In the first year first semester of Sportandscience, you will study:\n\nFirst Year - First Semester Courses:\nAEF109, Introduction to Education, Type: Z, T: 2, P: 0, K: 2, A: 4\nAİT101, Atatürk's Principles and History of Revolution 1, Type: Z, T: 2, P: 0, K: 2, A: 2\nİNG101, Foreign Language 1, Type: Z, T: 3, P: 0, K: 3, A: 3\nTUR101, Turkish Language 1, Type: Z, T: 2, P: 0, K: 2, A: 2\nBİL101, Information Technologies, Type: Z, T: 3, P: 0, K: 3, A: 4\nOSB121, Introduction to Sports Sciences, Type: Z, T: 3, P: 0, K: 3, A: 3\nOSB123, Human Anatomy and Kinesiology, Type: Z, T: 3, P: 0, K: 3, A: 4\nOSB135, Movement Training, Type: Z, T: 2, P: 2, K: 3, A: 3\nOSB205, Team Sports 1 (Basketball), Type: Z/S, T: 1, P: 2, K: 2, A: 3\nKAM100, Adaptation to Campus, Type: Z, T: 0, P: 0, K: 0, A: 2\n\nTotal: Mandatory: 21, Practical: 4, Credits: 23, ECTS: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in first year second semester of Sportandscience?,"[{""content"": ""What courses will I take in first year second semester of Sportandscience?"", ""role"": ""user""}, {""content"": ""In the first year second semester of Sportandscience, you will study:\n\nFirst Year - Second Semester Courses:\nAEF104, Educational Psychology, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF113, Philosophy & Sociology of Education, Type: Z, T: 2, P: 0, K: 2, A: 4\nAİT102, Atatürk's Principles & History of Revolution 2, Type: Z, T: 2, P: 0, K: 2, A: 2\nİNG102, Foreign Language 2, Type: Z, T: 3, P: 0, K: 3, A: 3\nTUR102, Turkish Language 2, Type: Z, T: 2, P: 0, K: 2, A: 2\nOSB122, Health Information & First Aid, Type: Z, T: 2, P: 2, K: 3, A: 3\nOSB124, Gymnastics, Type: Z, T: 1, P: 2, K: 2, A: 4\nOSB126, Athletics, Type: Z, T: 2, P: 2, K: 3, A: 4\nKTK100, Cyprus Culture & History, Type: Z, T: 2, P: 0, K: 2, A: 2\nKAR100, Career Planning, Type: Z, T: 0, P: 0, K: 0, A: 2\n\nTotal: Mandatory: 18, Practical: 6, Credits: 21, ECTS: 30"", ""role"": ""assistant""}]",Course Information
List the first year second semester courses for Sportandscience,"[{""content"": ""List the first year second semester courses for Sportandscience"", ""role"": ""user""}, {""content"": ""In the first year second semester of Sportandscience, you will study:\n\nFirst Year - Second Semester Courses:\nAEF104, Educational Psychology, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF113, Philosophy & Sociology of Education, Type: Z, T: 2, P: 0, K: 2, A: 4\nAİT102, Atatürk's Principles & History of Revolution 2, Type: Z, T: 2, P: 0, K: 2, A: 2\nİNG102, Foreign Language 2, Type: Z, T: 3, P: 0, K: 3, A: 3\nTUR102, Turkish Language 2, Type: Z, T: 2, P: 0, K: 2, A: 2\nOSB122, Health Information & First Aid, Type: Z, T: 2, P: 2, K: 3, A: 3\nOSB124, Gymnastics, Type: Z, T: 1, P: 2, K: 2, A: 4\nOSB126, Athletics, Type: Z, T: 2, P: 2, K: 3, A: 4\nKTK100, Cyprus Culture & History, Type: Z, T: 2, P: 0, K: 2, A: 2\nKAR100, Career Planning, Type: Z, T: 0, P: 0, K: 0, A: 2\n\nTotal: Mandatory: 18, Practical: 6, Credits: 21, ECTS: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in second year first semester of Sportandscience?,"[{""content"": ""What courses will I take in second year first semester of Sportandscience?"", ""role"": ""user""}, {""content"": ""In the second year first semester of Sportandscience, you will study:\n\nSecond Year - First Semester Courses:\nAEF362, Information Media & Technologies Literacy, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF203, Teaching Principles & Methods, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 4\nGEN, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 3\nBSÖ, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ213, Physical Education & Sports Learning & Teaching, Type: Z, T: 2, P: 0, K: 2, A: 4\nOSB201, Motor Development, Type: Z, T: 3, P: 0, K: 3, A: 4\nOSB305, Team Sports 2, Type: Z/S, T: 1, P: 2, K: 2, A: 3\n\nTotal: Mandatory: 16, Practical: 2, Credits: 17, ECTS: 30"", ""role"": ""assistant""}]",Course Information
List the second year first semester courses for Sportandscience,"[{""content"": ""List the second year first semester courses for Sportandscience"", ""role"": ""user""}, {""content"": ""In the second year first semester of Sportandscience, you will study:\n\nSecond Year - First Semester Courses:\nAEF362, Information Media & Technologies Literacy, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF203, Teaching Principles & Methods, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 4\nGEN, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 3\nBSÖ, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ213, Physical Education & Sports Learning & Teaching, Type: Z, T: 2, P: 0, K: 2, A: 4\nOSB201, Motor Development, Type: Z, T: 3, P: 0, K: 3, A: 4\nOSB305, Team Sports 2, Type: Z/S, T: 1, P: 2, K: 2, A: 3\n\nTotal: Mandatory: 16, Practical: 2, Credits: 17, ECTS: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in second year second semester of Sportandscience?,"[{""content"": ""What courses will I take in second year second semester of Sportandscience?"", ""role"": ""user""}, {""content"": ""In the second year second semester of Sportandscience, you will study:\n\nSecond Year - Second Semester Courses:\nAEF228, Instructional Technologies, Type: Z, T: 2, P: 0, K: 2, A: 5\nAEF206, Research Methods in Education, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 2, Type: S, T: 2, P: 0, K: 2, A: 4\nGEN, Elective 2, Type: S, T: 2, P: 0, K: 2, A: 3\nBSÖ, Elective 2, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ210, Physical Education & Sports Teaching Programs, Type: Z, T: 2, P: 0, K: 2, A: 2\nOSB202, Exercise Physiology, Type: Z, T: 3, P: 0, K: 3, A: 3\nOSB206, Team Sports 2 (Football), Type: Z/S, T: 1, P: 2, K: 2, A: 3\nOSB106, Rhythm Training & Dance, Type: Z, T: 1, P: 2, K: 2, A: 2\n\nTotal: Mandatory: 17, Practical: 4, Credits: 19, ECTS: 30"", ""role"": ""assistant""}]",Course Information
List the second year second semester courses for Sportandscience,"[{""content"": ""List the second year second semester courses for Sportandscience"", ""role"": ""user""}, {""content"": ""In the second year second semester of Sportandscience, you will study:\n\nSecond Year - Second Semester Courses:\nAEF228, Instructional Technologies, Type: Z, T: 2, P: 0, K: 2, A: 5\nAEF206, Research Methods in Education, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 2, Type: S, T: 2, P: 0, K: 2, A: 4\nGEN, Elective 2, Type: S, T: 2, P: 0, K: 2, A: 3\nBSÖ, Elective 2, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ210, Physical Education & Sports Teaching Programs, Type: Z, T: 2, P: 0, K: 2, A: 2\nOSB202, Exercise Physiology, Type: Z, T: 3, P: 0, K: 3, A: 3\nOSB206, Team Sports 2 (Football), Type: Z/S, T: 1, P: 2, K: 2, A: 3\nOSB106, Rhythm Training & Dance, Type: Z, T: 1, P: 2, K: 2, A: 2\n\nTotal: Mandatory: 17, Practical: 4, Credits: 19, ECTS: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year first semester of Sportandscience?,"[{""content"": ""What courses will I take in third year first semester of Sportandscience?"", ""role"": ""user""}, {""content"": ""In the third year first semester of Sportandscience, you will study:\n\nThird Year - First Semester Courses:\nAEF312, Classroom Management, Type: Z, T: 2, P: 0, K: 2, A: 3\nGEN203, Community Service Practices, Type: Z, T: 1, P: 2, K: 2, A: 3\nAEF, Elective 3, Type: S, T: 2, P: 0, K: 2, A: 4\nGEN, Elective 3, Type: S, T: 2, P: 0, K: 2, A: 3\nBSÖ, Elective 3, Type: S, T: 2, P: 0, K: 2, A: 4\nOSB307, Training Theory, Type: Z, T: 3, P: 0, K: 3, A: 3\nAEF305, Measurement & Evaluation in Education, Type: Z, T: 2, P: 0, K: 2, A: 4\nBSÖ314, Physical Fitness, Type: Z, T: 2, P: 0, K: 2, A: 3\nOSB321, Swimming, Type: Z, T: 1, P: 2, K: 2, A: 3\n\nTotal: Mandatory: 17, Practical: 4, Credits: 19, ECTS: 30"", ""role"": ""assistant""}]",Course Information
List the third year first semester courses for Sportandscience,"[{""content"": ""List the third year first semester courses for Sportandscience"", ""role"": ""user""}, {""content"": ""In the third year first semester of Sportandscience, you will study:\n\nThird Year - First Semester Courses:\nAEF312, Classroom Management, Type: Z, T: 2, P: 0, K: 2, A: 3\nGEN203, Community Service Practices, Type: Z, T: 1, P: 2, K: 2, A: 3\nAEF, Elective 3, Type: S, T: 2, P: 0, K: 2, A: 4\nGEN, Elective 3, Type: S, T: 2, P: 0, K: 2, A: 3\nBSÖ, Elective 3, Type: S, T: 2, P: 0, K: 2, A: 4\nOSB307, Training Theory, Type: Z, T: 3, P: 0, K: 3, A: 3\nAEF305, Measurement & Evaluation in Education, Type: Z, T: 2, P: 0, K: 2, A: 4\nBSÖ314, Physical Fitness, Type: Z, T: 2, P: 0, K: 2, A: 3\nOSB321, Swimming, Type: Z, T: 1, P: 2, K: 2, A: 3\n\nTotal: Mandatory: 17, Practical: 4, Credits: 19, ECTS: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year second semester of Sportandscience?,"[{""content"": ""What courses will I take in third year second semester of Sportandscience?"", ""role"": ""user""}, {""content"": ""In the third year second semester of Sportandscience, you will study:\n\nThird Year - Second Semester Courses:\nBSÖ317, Physical Education & Sports Teaching, Type: Z, T: 1, P: 2, K: 2, A: 4\nAEF361, Entrepreneurship & Leadership, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 4, Type: S, T: 2, P: 0, K: 2, A: 4\nGEN, Elective 4, Type: S, T: 2, P: 0, K: 2, A: 3\nBSÖ, Elective 4, Type: S, T: 2, P: 0, K: 2, A: 4\nOSB302, Skill Learning in Sports, Type: Z, T: 2, P: 0, K: 2, A: 3\nOSB304, Team Sports 4 (Handball), Type: Z/S, T: 1, P: 2, K: 2, A: 3\nOSB309, Outdoor Sports, Type: Z, T: 1, P: 2, K: 2, A: 3\nOSB, Racquet Sports, Type: S, T: 1, P: 2, K: 2, A: 2\n\nTotal: Mandatory: 14, Practical: 8, Credits: 18, ECTS: 30"", ""role"": ""assistant""}]",Course Information
List the third year second semester courses for Sportandscience,"[{""content"": ""List the third year second semester courses for Sportandscience"", ""role"": ""user""}, {""content"": ""In the third year second semester of Sportandscience, you will study:\n\nThird Year - Second Semester Courses:\nBSÖ317, Physical Education & Sports Teaching, Type: Z, T: 1, P: 2, K: 2, A: 4\nAEF361, Entrepreneurship & Leadership, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 4, Type: S, T: 2, P: 0, K: 2, A: 4\nGEN, Elective 4, Type: S, T: 2, P: 0, K: 2, A: 3\nBSÖ, Elective 4, Type: S, T: 2, P: 0, K: 2, A: 4\nOSB302, Skill Learning in Sports, Type: Z, T: 2, P: 0, K: 2, A: 3\nOSB304, Team Sports 4 (Handball), Type: Z/S, T: 1, P: 2, K: 2, A: 3\nOSB309, Outdoor Sports, Type: Z, T: 1, P: 2, K: 2, A: 3\nOSB, Racquet Sports, Type: S, T: 1, P: 2, K: 2, A: 2\n\nTotal: Mandatory: 14, Practical: 8, Credits: 18, ECTS: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in fourth year first semester of Sportandscience?,"[{""content"": ""What courses will I take in fourth year first semester of Sportandscience?"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Sportandscience, you will study:\n\nFourth Year - First Semester Courses:\nAEF405, Teaching Practice 1, Type: Z, T: 2, P: 6, K: 5, A: 10\nAEF411, Special Education & Inclusion, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 5, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ, Elective 5, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ411, Folk Dances, Type: Z, T: 1, P: 2, K: 2, A: 3\nOSB401, Sports Nutrition, Type: Z, T: 2, P: 0, K: 2, A: 3\nOSB415, Educational Games, Type: Z, T: 1, P: 2, K: 2, A: 2\n\nTotal: Mandatory: 12, Practical: 10, Credits: 17, ECTS: 30"", ""role"": ""assistant""}]",Course Information
List the fourth year first semester courses for Sportandscience,"[{""content"": ""List the fourth year first semester courses for Sportandscience"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Sportandscience, you will study:\n\nFourth Year - First Semester Courses:\nAEF405, Teaching Practice 1, Type: Z, T: 2, P: 6, K: 5, A: 10\nAEF411, Special Education & Inclusion, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 5, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ, Elective 5, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ411, Folk Dances, Type: Z, T: 1, P: 2, K: 2, A: 3\nOSB401, Sports Nutrition, Type: Z, T: 2, P: 0, K: 2, A: 3\nOSB415, Educational Games, Type: Z, T: 1, P: 2, K: 2, A: 2\n\nTotal: Mandatory: 12, Practical: 10, Credits: 17, ECTS: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in fourth year second semester of Sportandscience?,"[{""content"": ""What courses will I take in fourth year second semester of Sportandscience?"", ""role"": ""user""}, {""content"": ""In the fourth year second semester of Sportandscience, you will study:\n\nFourth Year - Second Semester Courses:\nAEF410, Teaching Practice 2, Type: Z, T: 2, P: 6, K: 5, A: 10\nAEF412, Guidance in Schools, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 6, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ, Elective 6, Type: S, T: 2, P: 0, K: 2, A: 4\nOSB402, Sports Management & Organization, Type: Z, T: 3, P: 0, K: 3, A: 4\nOSB404, Physical Activity & Health, Type: Z, T: 2, P: 0, K: 2, A: 2\nBSÖ410, Adapted Physical Education & Sports, Type: Z, T: 2, P: 0, K: 2, A: 2\n\nTotal: Mandatory: 15, Practical: 6, Credits: 18, ECTS: 30"", ""role"": ""assistant""}]",Course Information
List the fourth year second semester courses for Sportandscience,"[{""content"": ""List the fourth year second semester courses for Sportandscience"", ""role"": ""user""}, {""content"": ""In the fourth year second semester of Sportandscience, you will study:\n\nFourth Year - Second Semester Courses:\nAEF410, Teaching Practice 2, Type: Z, T: 2, P: 6, K: 5, A: 10\nAEF412, Guidance in Schools, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 6, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ, Elective 6, Type: S, T: 2, P: 0, K: 2, A: 4\nOSB402, Sports Management & Organization, Type: Z, T: 3, P: 0, K: 3, A: 4\nOSB404, Physical Activity & Health, Type: Z, T: 2, P: 0, K: 2, A: 2\nBSÖ410, Adapted Physical Education & Sports, Type: Z, T: 2, P: 0, K: 2, A: 2\n\nTotal: Mandatory: 15, Practical: 6, Credits: 18, ECTS: 30"", ""role"": ""assistant""}]",Curriculum
What career opportunities are available after graduating from Sportandscience?,"[{""content"": ""What career opportunities are available after graduating from Sportandscience?"", ""role"": ""user""}, {""content"": ""Career Opportunities for Graduates:\nEducational Settings:\n- Physical Education Teacher (Primary/Secondary Schools)\n- Sports Academy Instructor\n- School Sports Coordinator\n- Adaptive Physical Education Specialist\n\nSports Industry:\n- Sports Coach (Various Disciplines)\n- Fitness Trainer and Instructor\n- Sports Club Manager\n- Recreation Program Coordinator\n\nHealth and Wellness:\n- Corporate Wellness Coordinator\n- Community Health Educator\n- Fitness Center Manager\n- Personal Trainer\n\nSports Management:\n- Sports Event Organizer\n- Sports Facility Manager\n- Youth Sports Program Director\n- Sports Development Officer\n\nFurther Education:\n- Master's in Sports Sciences\n- Master's in Education\n- Sports Psychology\n- Sports Management\n- PhD in related fields"", ""role"": ""assistant""}]",Career Information
What jobs can I get with a Sportandscience degree?,"[{""content"": ""What jobs can I get with a Sportandscience degree?"", ""role"": ""user""}, {""content"": ""Career Opportunities for Graduates:\nEducational Settings:\n- Physical Education Teacher (Primary/Secondary Schools)\n- Sports Academy Instructor\n- School Sports Coordinator\n- Adaptive Physical Education Specialist\n\nSports Industry:\n- Sports Coach (Various Disciplines)\n- Fitness Trainer and Instructor\n- Sports Club Manager\n- Recreation Program Coordinator\n\nHealth and Wellness:\n- Corporate Wellness Coordinator\n- Community Health Educator\n- Fitness Center Manager\n- Personal Trainer\n\nSports Management:\n- Sports Event Organizer\n- Sports Facility Manager\n- Youth Sports Program Director\n- Sports Development Officer\n\nFurther Education:\n- Master's in Sports Sciences\n- Master's in Education\n- Sports Psychology\n- Sports Management\n- PhD in related fields"", ""role"": ""assistant""}]",Career Information
What can I do after graduating from Sportandscience?,"[{""content"": ""What can I do after graduating from Sportandscience?"", ""role"": ""user""}, {""content"": ""Career Opportunities for Graduates:\nEducational Settings:\n- Physical Education Teacher (Primary/Secondary Schools)\n- Sports Academy Instructor\n- School Sports Coordinator\n- Adaptive Physical Education Specialist\n\nSports Industry:\n- Sports Coach (Various Disciplines)\n- Fitness Trainer and Instructor\n- Sports Club Manager\n- Recreation Program Coordinator\n\nHealth and Wellness:\n- Corporate Wellness Coordinator\n- Community Health Educator\n- Fitness Center Manager\n- Personal Trainer\n\nSports Management:\n- Sports Event Organizer\n- Sports Facility Manager\n- Youth Sports Program Director\n- Sports Development Officer\n\nFurther Education:\n- Master's in Sports Sciences\n- Master's in Education\n- Sports Psychology\n- Sports Management\n- PhD in related fields"", ""role"": ""assistant""}]",Career Information
What elective courses are available in the Sportandscience program?,"[{""content"": ""What elective courses are available in the Sportandscience program?"", ""role"": ""user""}, {""content"": ""The Sportandscience program offers the following elective courses:\n\nSecond Year - First Semester Courses:\nAEF362, Information Media & Technologies Literacy, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF203, Teaching Principles & Methods, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 4\nGEN, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 3\nBSÖ, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ213, Physical Education & Sports Learning & Teaching, Type: Z, T: 2, P: 0, K: 2, A: 4\nOSB201, Motor Development, Type: Z, T: 3, P: 0, K: 3, A: 4\nOSB305, Team Sports 2, Type: Z/S, T: 1, P: 2, K: 2, A: 3\n\nTotal: Mandatory: 16, Practical: 2, Credits: 17, ECTS: 30"", ""role"": ""assistant""}]",Course Information
Tell me about elective courses for Sportandscience,"[{""content"": ""Tell me about elective courses for Sportandscience"", ""role"": ""user""}, {""content"": ""The Sportandscience program offers the following elective courses:\n\nSecond Year - First Semester Courses:\nAEF362, Information Media & Technologies Literacy, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF203, Teaching Principles & Methods, Type: Z, T: 2, P: 0, K: 2, A: 4\nAEF, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 4\nGEN, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 3\nBSÖ, Elective 1, Type: S, T: 2, P: 0, K: 2, A: 4\nBSÖ213, Physical Education & Sports Learning & Teaching, Type: Z, T: 2, P: 0, K: 2, A: 4\nOSB201, Motor Development, Type: Z, T: 3, P: 0, K: 3, A: 4\nOSB305, Team Sports 2, Type: Z/S, T: 1, P: 2, K: 2, A: 3\n\nTotal: Mandatory: 16, Practical: 2, Credits: 17, ECTS: 30"", ""role"": ""assistant""}]",Course Information
How long is the Sportandscience program?,"[{""content"": ""How long is the Sportandscience program?"", ""role"": ""user""}, {""content"": ""Sports Sciences and Physical Education Teaching Curriculum Overview\nDegree: Bachelor of Science in Sports Sciences and Physical Education Teaching\nProgram Duration: 4 years (8 semesters)\nProgram Type: Teacher Education Program\n\nLegend:\nZ/S: Mandatory/Optional (Zorunlu/Seçmeli)\nT: Theoretical Hours\nP: Practical/Lab Hours\nK: Credits\nA: ECTS (AKTS)\n\nProgram Focus: Preparing physical education teachers with comprehensive sports science knowledge"", ""role"": ""assistant""}]",Program Information
What is the duration of Sportandscience studies?,"[{""content"": ""What is the duration of Sportandscience studies?"", ""role"": ""user""}, {""content"": ""Sports Sciences and Physical Education Teaching Curriculum Overview\nDegree: Bachelor of Science in Sports Sciences and Physical Education Teaching\nProgram Duration: 4 years (8 semesters)\nProgram Type: Teacher Education Program\n\nLegend:\nZ/S: Mandatory/Optional (Zorunlu/Seçmeli)\nT: Theoretical Hours\nP: Practical/Lab Hours\nK: Credits\nA: ECTS (AKTS)\n\nProgram Focus: Preparing physical education teachers with comprehensive sports science knowledge"", ""role"": ""assistant""}]",Program Information
What are the focus areas of Sportandscience?,"[{""content"": ""What are the focus areas of Sportandscience?"", ""role"": ""user""}, {""content"": ""Sports Sciences and Physical Education Teaching Curriculum Overview\nDegree: Bachelor of Science in Sports Sciences and Physical Education Teaching\nProgram Duration: 4 years (8 semesters)\nProgram Type: Teacher Education Program\n\nLegend:\nZ/S: Mandatory/Optional (Zorunlu/Seçmeli)\nT: Theoretical Hours\nP: Practical/Lab Hours\nK: Credits\nA: ECTS (AKTS)\n\nProgram Focus: Preparing physical education teachers with comprehensive sports science knowledge"", ""role"": ""assistant""}]",Program Information
What specializations does Sportandscience offer?,"[{""content"": ""What specializations does Sportandscience offer?"", ""role"": ""user""}, {""content"": ""Sports Sciences and Physical Education Teaching Curriculum Overview\nDegree: Bachelor of Science in Sports Sciences and Physical Education Teaching\nProgram Duration: 4 years (8 semesters)\nProgram Type: Teacher Education Program\n\nLegend:\nZ/S: Mandatory/Optional (Zorunlu/Seçmeli)\nT: Theoretical Hours\nP: Practical/Lab Hours\nK: Credits\nA: ECTS (AKTS)\n\nProgram Focus: Preparing physical education teachers with comprehensive sports science knowledge"", ""role"": ""assistant""}]",Program Information
Tell me about the Visual Communication Design program at Near East University.,"[{""content"": ""Tell me about the Visual Communication Design program at Near East University."", ""role"": ""user""}, {""content"": ""FACULTY OF COMMUNICATION\nDEPARTMENT OF VISUAL COMMUNICATION DESIGN\nBachelor of Arts in Visual Communication Design\n\nProgram Duration: 4 years (8 semesters)\nDegree: Bachelor of Arts\nTotal ECTS for Graduation: 240\n\nMain website: https://iletisim.neu.edu.tr/?lang=en\nCurriculum link: https://iletisim.neu.edu.tr/academic/academic-programmes/department-of-visual-communication-design/courses-2/?lang=en\n\nLegend:\nK = Credit (Credits)\nA = ECTS (European Credit Transfer System)\nC = Compulsory Course\nE = Elective Course"", ""role"": ""assistant""}]",Program Information
